,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
0,"('rbf', 0.05, 0.05)","{'fold_0': 0.7030462888977445, 'fold_1': 0.7767623805781767, 'fold_2': 0.5075448961788976, 'fold_3': 0.7990636977147338, 'fold_4': 0.5619977428566322, 'fold_5': 0.6410427245623185, 'fold_6': 0.6687247402732934, 'fold_7': 0.7993835204300305, 'fold_8': 0.5760647106299805, 'fold_9': 0.47884964454483225}","{'fold_0': 0.4179231279932346, 'fold_1': 0.4675027731314494, 'fold_2': 0.6083192836372319, 'fold_3': 0.5831233877907229, 'fold_4': 0.5597571657812943, 'fold_5': 0.517677998759142, 'fold_6': 0.6167387748279143, 'fold_7': 0.47044703443056, 'fold_8': 0.6606970665488041, 'fold_9': 0.5748430859359034}",{},0.5477,0.651
1,"('rbf', 0.05, 0.1)","{'fold_0': 0.714360479586104, 'fold_1': 0.7781020600012185, 'fold_2': 0.5145306506338994, 'fold_3': 0.8114626874864883, 'fold_4': 0.5731227461246597, 'fold_5': 0.6463414771615467, 'fold_6': 0.6731055160172822, 'fold_7': 0.8087341256280681, 'fold_8': 0.5821162630598922, 'fold_9': 0.4802085574190272}","{'fold_0': 0.39903754048959084, 'fold_1': 0.46566439688222505, 'fold_2': 0.5974630401589118, 'fold_3': 0.5700857510777302, 'fold_4': 0.5421550342019335, 'fold_5': 0.5096714576174044, 'fold_6': 0.6117008845541394, 'fold_7': 0.45798592927793247, 'fold_8': 0.6535308768888244, 'fold_9': 0.5724265821252807}",{},0.538,0.658
2,"('rbf', 0.05, 0.15)","{'fold_0': 0.717347951114512, 'fold_1': 0.7788127567206827, 'fold_2': 0.5185659491204354, 'fold_3': 0.8147520764345427, 'fold_4': 0.575542968768973, 'fold_5': 0.6571089108649942, 'fold_6': 0.6712715008412173, 'fold_7': 0.805063602155128, 'fold_8': 0.5832706677732583, 'fold_9': 0.4852031194617048}","{'fold_0': 0.39400055313369575, 'fold_1': 0.46468785664015655, 'fold_2': 0.5911243451293627, 'fold_3': 0.5665932394718397, 'fold_4': 0.5382800304116524, 'fold_5': 0.4931985662740713, 'fold_6': 0.6138140042909173, 'fold_7': 0.4628947382090375, 'fold_8': 0.6521553366283638, 'fold_9': 0.5634861014846142}",{},0.534,0.661
3,"('rbf', 0.05, 0.2)","{'fold_0': 0.7152529532326177, 'fold_1': 0.7787910344907999, 'fold_2': 0.5166843480284611, 'fold_3': 0.8180872106500092, 'fold_4': 0.5734448358789158, 'fold_5': 0.663442959335947, 'fold_6': 0.672163137291151, 'fold_7': 0.8032991561789677, 'fold_8': 0.5839472261710846, 'fold_9': 0.48092183672765626}","{'fold_0': 0.39753499882213195, 'fold_1': 0.4647177175051037, 'fold_2': 0.5940861482125144, 'fold_3': 0.5630377328928204, 'fold_4': 0.5416402802120719, 'fold_5': 0.4833810875503609, 'fold_6': 0.612787396731695, 'fold_7': 0.46524648953107184, 'fold_8': 0.6513479114325891, 'fold_9': 0.5711554437078558}",{},0.5345,0.661
4,"('rbf', 0.05, 0.25)","{'fold_0': 0.7239439062691683, 'fold_1': 0.7811380924730605, 'fold_2': 0.5230481168594134, 'fold_3': 0.8293690227652868, 'fold_4': 0.5748404199071009, 'fold_5': 0.6807108796048931, 'fold_6': 0.6695592010573203, 'fold_7': 0.8096916286138636, 'fold_8': 0.5864167202542127, 'fold_9': 0.48763100216077426}","{'fold_0': 0.3828050882860131, 'fold_1': 0.4614864741436028, 'fold_2': 0.5840256552758487, 'fold_3': 0.5509027972283078, 'fold_4': 0.5394065591871463, 'fold_5': 0.456138263020071, 'fold_6': 0.6157816814742745, 'fold_7': 0.45670173142216075, 'fold_8': 0.648392799087881, 'fold_9': 0.5591066733648995}",{},0.5255,0.667
5,"('rbf', 0.05, 0.5)","{'fold_0': 0.7617593530697309, 'fold_1': 0.828928619611851, 'fold_2': 0.5413159719193701, 'fold_3': 0.8817673410751162, 'fold_4': 0.6079926443630302, 'fold_5': 0.7255917908326798, 'fold_6': 0.7161549349859854, 'fold_7': 0.8451031888475238, 'fold_8': 0.6266319947025514, 'fold_9': 0.5065952255248024}","{'fold_0': 0.31664229753204587, 'fold_1': 0.39357757749969635, 'fold_2': 0.5544618024919358, 'fold_3': 0.4923636085559492, 'fold_4': 0.4847478610722765, 'fold_5': 0.38205781690090523, 'fold_6': 0.5604441341841674, 'fold_7': 0.4081406625915157, 'fold_8': 0.5985141881367859, 'fold_9': 0.5241466926090111}",{},0.4715,0.704
6,"('rbf', 0.05, 1.0)","{'fold_0': 0.8504117180796558, 'fold_1': 0.8956921029755438, 'fold_2': 0.585702534973046, 'fold_3': 0.9964376692313679, 'fold_4': 0.6974778526380924, 'fold_5': 0.8811597523436291, 'fold_6': 0.8349981569551118, 'fold_7': 0.9270151705074656, 'fold_8': 0.7432818957437495, 'fold_9': 0.5868538251396469}","{'fold_0': 0.14833073448661127, 'fold_1': 0.29195889259394914, 'fold_2': 0.47840013778179935, 'fold_3': 0.3517463005229394, 'fold_4': 0.32191521971222703, 'fold_5': 0.0886768008401756, 'fold_6': 0.40245428575230824, 'fold_7': 0.2878479881926487, 'fold_8': 0.4351252254746716, 'fold_9': 0.3614266546234205}",{},0.3168,0.8
7,"('rbf', 0.1, 0.05)","{'fold_0': 0.6713792440079664, 'fold_1': 0.6927044873774647, 'fold_2': 0.45919960534027643, 'fold_3': 0.7217540259918837, 'fold_4': 0.49246210729065193, 'fold_5': 0.5932697158424745, 'fold_6': 0.5727755467090679, 'fold_7': 0.7184021246907051, 'fold_8': 0.5098719405527309, 'fold_9': 0.4681048363647162}","{'fold_0': 0.46917872017965667, 'fold_1': 0.5765160216596992, 'fold_2': 0.6793832017216224, 'fold_3': 0.6598870567383344, 'fold_4': 0.6619594564319005, 'fold_5': 0.5868883130869171, 'fold_6': 0.7188299622900995, 'fold_7': 0.572304935219653, 'fold_8': 0.7341924599237468, 'fold_9': 0.5937090358681496}",{},0.6253,0.59
8,"('rbf', 0.1, 0.1)","{'fold_0': 0.6676868030588935, 'fold_1': 0.6870455275221691, 'fold_2': 0.45665678674624494, 'fold_3': 0.7257320966383856, 'fold_4': 0.49637443562684674, 'fold_5': 0.5978385395221331, 'fold_6': 0.5744080777248295, 'fold_7': 0.7283632573577081, 'fold_8': 0.51001393580499, 'fold_9': 0.4667319146660455}","{'fold_0': 0.47500146905686813, 'fold_1': 0.5834069542697946, 'fold_2': 0.6829242024815333, 'fold_3': 0.6561275434023344, 'fold_4': 0.6565670458057165, 'fold_5': 0.5805009919122341, 'fold_6': 0.7172248904253075, 'fold_7': 0.5603621435786483, 'fold_8': 0.7340443887657886, 'fold_9': 0.5960887919957405}",{},0.6242,0.591
9,"('rbf', 0.1, 0.15)","{'fold_0': 0.6607524123875075, 'fold_1': 0.6968520913579258, 'fold_2': 0.4601399651782923, 'fold_3': 0.7356941701041838, 'fold_4': 0.498345324400943, 'fold_5': 0.6025017280187277, 'fold_6': 0.5815964302438541, 'fold_7': 0.7270078456401855, 'fold_8': 0.5119948234412991, 'fold_9': 0.4730537386696672}","{'fold_0': 0.4858497892769055, 'fold_1': 0.5714295749410098, 'fold_2': 0.6780687238281182, 'fold_3': 0.6466221219277046, 'fold_4': 0.6538343831980742, 'fold_5': 0.5739312173364222, 'fold_6': 0.7101031031613243, 'fold_7': 0.561996865950204, 'fold_8': 0.7319744403113597, 'fold_9': 0.5850728378531848}",{},0.6199,0.595
