,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
0,"('rbf', 0.05, 0.05)","{'fold_0': 0.4200533151223681, 'fold_1': 0.5830936490832653, 'fold_2': 0.5309839994110555, 'fold_3': 0.7017947260746328, 'fold_4': 0.6979698971700904, 'fold_5': 0.7473653681635762, 'fold_6': 0.5289370580700167, 'fold_7': 0.705989743035834, 'fold_8': 0.5255666499750185, 'fold_9': 0.756798043383617}","{'fold_0': 0.8857460889619939, 'fold_1': 0.8435885905609293, 'fold_2': 0.7976904219413242, 'fold_3': 0.6909807589405281, 'fold_4': 0.7837908072149902, 'fold_5': 0.7553671484070601, 'fold_6': 0.8264403870627479, 'fold_7': 0.750786535383035, 'fold_8': 0.8108118810134514, 'fold_9': 0.7537078994513545}",{},0.7899,0.62
1,"('rbf', 0.05, 0.1)","{'fold_0': 0.42264594935684763, 'fold_1': 0.583565149719885, 'fold_2': 0.536374008017924, 'fold_3': 0.7003076078762948, 'fold_4': 0.7018660720744995, 'fold_5': 0.7514892873946724, 'fold_6': 0.5274587608232819, 'fold_7': 0.7106697021613947, 'fold_8': 0.5250891967979813, 'fold_9': 0.759645561089356}","{'fold_0': 0.8843313506701324, 'fold_1': 0.8433355337962323, 'fold_2': 0.793562294017308, 'fold_3': 0.6922890082725361, 'fold_4': 0.7813702443620174, 'fold_5': 0.752659959816715, 'fold_6': 0.8274091758951502, 'fold_7': 0.7474715452394078, 'fold_8': 0.8111554623226476, 'fold_9': 0.7518510222732506}",{},0.7885,0.622
2,"('rbf', 0.05, 0.15)","{'fold_0': 0.4251314839471851, 'fold_1': 0.5893991551889675, 'fold_2': 0.5364832811477764, 'fold_3': 0.7051571906808282, 'fold_4': 0.7058782680844622, 'fold_5': 0.7510863895494269, 'fold_6': 0.5300337960132973, 'fold_7': 0.7159775028915849, 'fold_8': 0.5274826319505036, 'fold_9': 0.7641324842437887}","{'fold_0': 0.8829668809395232, 'fold_1': 0.840187470650786, 'fold_2': 0.7934781721480677, 'fold_3': 0.6880124964895062, 'fold_4': 0.7788635193039815, 'fold_5': 0.7529251027997454, 'fold_6': 0.8257198977250148, 'fold_7': 0.7436853245899488, 'fold_8': 0.8094299754143162, 'fold_9': 0.748910930917945}",{},0.7864,0.625
3,"('rbf', 0.05, 0.2)","{'fold_0': 0.4272558087863563, 'fold_1': 0.5921650581699806, 'fold_2': 0.5459654913158339, 'fold_3': 0.712171514268641, 'fold_4': 0.7078615132691664, 'fold_5': 0.7502620115091481, 'fold_6': 0.526132815841917, 'fold_7': 0.7136867716987916, 'fold_8': 0.5274604080273407, 'fold_9': 0.7673657937696564}","{'fold_0': 0.8817943612720989, 'fold_1': 0.8386840307285977, 'fold_2': 0.786113210240981, 'fold_3': 0.6817748364544314, 'fold_4': 0.7776191575394292, 'fold_5': 0.7534671745055904, 'fold_6': 0.8282758153878094, 'fold_7': 0.7453228306446426, 'fold_8': 0.8094460332865868, 'fold_9': 0.7467815454976783}",{},0.7849,0.627
4,"('rbf', 0.05, 0.25)","{'fold_0': 0.4327411666794241, 'fold_1': 0.598953791659982, 'fold_2': 0.5489477952057831, 'fold_3': 0.7146170232837724, 'fold_4': 0.7056125151024735, 'fold_5': 0.7543615065938559, 'fold_6': 0.5307683771455315, 'fold_7': 0.7135991046455601, 'fold_8': 0.5281453908124346, 'fold_9': 0.7727261933313546}","{'fold_0': 0.8787396924337847, 'fold_1': 0.8349640930484313, 'fold_2': 0.7837701406022095, 'fold_3': 0.6795855922887907, 'fold_4': 0.7790299973476796, 'fold_5': 0.7507656615489526, 'fold_6': 0.8252364885909153, 'fold_7': 0.7453853942974131, 'fold_8': 0.8089507887590204, 'fold_9': 0.7432314968380447}",{},0.783,0.63
5,"('rbf', 0.05, 0.5)","{'fold_0': 0.4677735329431056, 'fold_1': 0.6504349352767822, 'fold_2': 0.6037070560488742, 'fold_3': 0.7618347207132007, 'fold_4': 0.7471883577949421, 'fold_5': 0.7916227504681514, 'fold_6': 0.5594964438500553, 'fold_7': 0.7571925486088247, 'fold_8': 0.5534285740096523, 'fold_9': 0.8211659955878425}","{'fold_0': 0.8583118489607777, 'fold_1': 0.8053745964925394, 'fold_2': 0.7384792943583774, 'fold_3': 0.6358445242417041, 'fold_4': 0.7522230153000126, 'fold_5': 0.7255360098668118, 'fold_6': 0.8058062075696448, 'fold_7': 0.7133266094415005, 'fold_8': 0.7902212864556978, 'fold_9': 0.710030449379796}",{},0.7535,0.671
6,"('rbf', 0.05, 1.0)","{'fold_0': 0.6362120440771849, 'fold_1': 0.8383695727745683, 'fold_2': 0.78349125878647, 'fold_3': 0.9157609969701123, 'fold_4': 0.880869847192931, 'fold_5': 0.9050896989593146, 'fold_6': 0.6932781619464348, 'fold_7': 0.9057247870520024, 'fold_8': 0.6871759512609902, 'fold_9': 0.9917147832753407}","{'fold_0': 0.7379006070271807, 'fold_1': 0.6766574768425647, 'fold_2': 0.5595243686615452, 'fold_3': 0.47382573097034764, 'fold_4': 0.6556308339924118, 'fold_5': 0.6412168130971649, 'fold_6': 0.7018356452639849, 'fold_7': 0.5898268513647555, 'fold_8': 0.67657456895118, 'fold_9': 0.5770743202595701}",{},0.629,0.824
7,"('rbf', 0.1, 0.05)","{'fold_0': 0.4241098106902191, 'fold_1': 0.49722761215085737, 'fold_2': 0.49818617602610443, 'fold_3': 0.6311632732151253, 'fold_4': 0.6064837526366348, 'fold_5': 0.6350074737285416, 'fold_6': 0.4569130856619227, 'fold_7': 0.6371504351521031, 'fold_8': 0.4528963390140181, 'fold_9': 0.6948707986551639}","{'fold_0': 0.8835287115165342, 'fold_1': 0.8862628653378475, 'fold_2': 0.8219110717631363, 'fold_3': 0.7500525210483631, 'fold_4': 0.836755291594157, 'fold_5': 0.8233935696473597, 'fold_6': 0.8704886368711071, 'fold_7': 0.7970174574909763, 'fold_8': 0.8595130832590422, 'fold_9': 0.7923659362174632}",{},0.8321,0.553
8,"('rbf', 0.1, 0.1)","{'fold_0': 0.4197352571596667, 'fold_1': 0.49668515606648744, 'fold_2': 0.49975234976421423, 'fold_3': 0.6297367227135039, 'fold_4': 0.6040255030777892, 'fold_5': 0.6425948459216692, 'fold_6': 0.46375787203432456, 'fold_7': 0.6455343973109988, 'fold_8': 0.46494891404426697, 'fold_9': 0.6963778624144665}","{'fold_0': 0.8859190460941521, 'fold_1': 0.8865108955938952, 'fold_2': 0.8207895768654027, 'fold_3': 0.7511811030379009, 'fold_4': 0.8380759632438857, 'fold_5': 0.8191480004942296, 'fold_6': 0.866579282640371, 'fold_7': 0.79164040855794, 'fold_8': 0.8519362527748533, 'fold_9': 0.7914643093030485}",{},0.8303,0.556
9,"('rbf', 0.1, 0.15)","{'fold_0': 0.42483372123672936, 'fold_1': 0.4988515733207605, 'fold_2': 0.4969648743384821, 'fold_3': 0.6237000600274244, 'fold_4': 0.6005953173703411, 'fold_5': 0.6447663226983925, 'fold_6': 0.46233292257381337, 'fold_7': 0.6468406593910035, 'fold_8': 0.4688867119104439, 'fold_9': 0.6948111092875232}","{'fold_0': 0.8831307638615385, 'fold_1': 0.885518713921321, 'fold_2': 0.822783170261365, 'fold_3': 0.7559285996723062, 'fold_4': 0.8399098341853573, 'fold_5': 0.8179236537430671, 'fold_6': 0.8673979240534264, 'fold_7': 0.7907963091277794, 'fold_8': 0.8494176358432239, 'fold_9': 0.7924016061972331}",{},0.8305,0.556
