,Plot,height_95p,canopy_cover_50p,canopy_cover_75p,plot_volume2,VCI,CAP,LPI,NDVI705,GNDVI,EVI,VOG2,MCARI2,MTVI,PBI,EVI2,GDD,Datt3,DCNI,LAI,PREC,date,hybrid_or_inbred,pedigree,nitrogen_treatment
0,101,1.171,69.56,38.6,0.906640583,0.856430433,89.08310173,0.000539065,0.692005,0.729845,0.516225,-0.37093,0.841605,0.54849,9.085245,0.602665,1012,6.58461,39.39024,1.996,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
1,102,1.183,69.7,39.03,0.571776417,0.780553054,89.17456837,0.000594913,0.704405,0.740585,0.529635,-0.394025,0.862965,0.556005,9.621105,0.613285,1012,6.90045,39.543445,2.228,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
2,103,1.1485,63.1,31.77,0.454601488,0.839045357,86.32766844,0.000606996,0.67694,0.721745,0.487185,-0.359665,0.80441,0.50854,8.820875,0.569575,1012,6.27372,40.119175,2.133,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
3,104,1.184,68.13,37.57,0.4982917,0.878162898,88.88248436,0.000603098,0.68846,0.72877,0.458515,-0.36809,0.81338,0.452445,8.87505,0.52813,1012,6.356495,42.070775,2.347,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
4,105,1.143,64.17,32.97,0.40493605,0.780358826,85.470412,0.000584859,0.68109,0.724655,0.450055,-0.358645,0.79218,0.44267,8.69535,0.51848,1012,6.24724,42.33408,1.9,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
5,106,1.157,65.9,35.0,0.563786748,0.791797026,86.13576451,0.000544681,0.69692,0.73466,0.456735,-0.374085,0.822815,0.444555,9.1017,0.523035,1012,6.56151,43.59861,2.094,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
6,107,0.951,52.39,23.77,0.465003486,0.752036357,88.56835024,0.000545182,0.599575,0.645075,0.372635,-0.20791,0.613455,0.37281,5.75252,0.43567,1012,4.478585,33.788295,1.316,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
7,108,0.92,50.06,22.84,0.335565686,0.767227539,89.10563914,0.000560309,0.556585,0.60459,0.414545,-0.16398,0.640125,0.478435,4.95232,0.50632,1012,3.926545,25.569805,1.536,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
8,109,1.109,63.42,32.68,0.841232471,0.68187884,90.49741682,0.000517967,0.680855,0.719435,0.497665,-0.35177,0.82018,0.52848,8.618275,0.58328,1012,6.347975,39.73275,1.969,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
9,110,1.21,62.13,31.84,1.185387955,0.787398548,81.7919515,0.000464163,0.702505,0.73588,0.523065,-0.389625,0.8533,0.546185,9.498305,0.60426,1012,7.012905,40.893155,2.628,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
10,111,1.184,66.81,35.28,0.848603706,0.802552374,89.15886274,0.000506057,0.706525,0.73776,0.52877,-0.3778,0.86305,0.55217,9.36021,0.60834,1012,6.938205,39.429805,2.274,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
11,112,1.158,66.14,35.73,1.027132354,0.734448031,89.33647051,0.000480644,0.69003,0.722375,0.50927,-0.34328,0.84032,0.533615,8.64347,0.589305,1012,6.47073,37.845995,2.091,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
12,201,1.188,67.06,36.56,0.656079179,0.745337162,88.31575747,0.00053473,0.695035,0.732985,0.516785,-0.38417,0.83956,0.54364,9.35112,0.60065,1012,6.716425,39.996245,2.108,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,255
13,202,1.155764479,63.88,30.88,0.433901848,0.730665869,84.900317,0.000569152,0.688635,0.72967,0.506635,-0.377395,0.831435,0.531595,9.170955,0.590645,1012,6.547965,39.716645,1.993,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
14,203,1.166,66.47,34.27,0.523746149,0.688910051,88.9710893,0.00055201,0.69356,0.734495,0.506825,-0.38241,0.835745,0.527255,9.327015,0.588785,1012,6.6048,39.92509,2.06,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
15,204,1.21311926,66.37,31.1,0.498831508,0.781435464,88.11943398,0.000534236,0.69145,0.73066,0.455285,-0.36741,0.811585,0.445435,8.963905,0.522415,1012,6.414495,42.74579,2.14,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
16,205,1.179,67.8,35.73,0.862175158,0.787811304,89.2729135,0.000505173,0.69053,0.729325,0.45568,-0.36077,0.81187,0.44616,8.85895,0.52238,1012,6.39683,42.07128,2.247,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
17,206,1.213,66.46,31.25,0.736345503,0.757082109,88.36992148,0.000496206,0.699735,0.735245,0.45734,-0.371955,0.823605,0.441895,9.159865,0.52065,1012,6.6437,43.15129,2.147,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
18,207,1.147,62.25,29.06,0.660256549,0.774684262,89.99535386,0.000492121,0.6852,0.72689,0.4249,-0.355065,0.781335,0.40535,8.71911,0.48654,1012,6.245375,44.62104,2.102,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
19,208,1.113,57.9,25.92,0.513990497,0.756763564,86.33310265,0.000504583,0.66438,0.704335,0.463965,-0.32334,0.784275,0.483885,8.053235,0.544775,1012,5.949175,39.280115,1.912,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
20,209,0.909,46.6,19.89,0.48479813,0.712034548,90.00927107,0.000477033,0.581745,0.624335,0.410555,-0.18526,0.65633,0.45308,5.32445,0.49321,1012,4.251995,28.96699,1.473,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
21,210,0.94,46.43,19.54,0.79663837,0.770262496,78.2286828,0.000443352,0.59254,0.63404,0.41618,-0.193675,0.66637,0.44914,5.547925,0.493775,1012,4.45329,29.71559,1.546,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
