,Plot,height_95p,canopy_cover_50p,canopy_cover_75p,plot_volume2,VCI,CAP,LPI,NDVI705,GNDVI,EVI,VOG2,MCARI2,MTVI,PBI,EVI2,GDD,PREC,LAI,date,hybrid_or_inbred,pedigree,nitrogen_treatment
0,4351,2.508083311,84.63,35.23,1.6777965,0.754845518,10.22849156,0.000244828,0.734925,0.755635,0.897915,-0.62208,0.965565,0.541885,13.465675,0.620825,1557,168.656,4.551,20210727,hybrid,PHG29 X PHG47,no_nitrogen_variants_for_genotyping
1,4352,2.777,86.78,53.36,2.575906167,0.712671171,9.422822083,0.0,0.765675,0.77137,0.98428,-0.667365,0.991585,0.65138,14.0867,0.713145,1557,168.656,3.768,20210727,hybrid,B73 X PHN82,no_nitrogen_variants_for_genotyping
2,4353,2.917406275,87.07,55.03,3.209379333,0.693911912,13.71253164,0.0,0.76331,0.739905,0.94218,-0.610245,0.996525,0.60339,12.43861,0.66912,1557,168.656,3.914,20210727,hybrid,LH244 X PHZ51,no_nitrogen_variants_for_genotyping
3,4354,2.18445369,88.93,66.48,4.481886833,0.591474844,15.03753464,0.0,0.765325,0.75867,0.739895,-0.68691,0.960785,0.46105,12.939855,0.55211,1557,168.656,4.151,20210727,hybrid,PHRE1 X PHTD5,no_nitrogen_variants_for_genotyping
4,4355,2.57773938,84.81,42.9,2.409631833,0.736308003,10.05787721,0.0,0.71857,0.73269,0.935305,-0.557245,0.95915,0.52371,11.91983,0.60321,1557,168.656,4.238,20210727,hybrid,PHJ89 X PH207,no_nitrogen_variants_for_genotyping
5,4356,2.73,89.9,61.6,4.005465167,0.631142946,13.35644425,0.0,0.749645,0.74617,0.9979,-0.62105,0.989835,0.62999,13.295255,0.69488,1557,168.656,4.063,20210727,hybrid,PHB47 X MO17,no_nitrogen_variants_for_genotyping
6,4357,2.676078333,92.81,64.69,4.484558333,0.577513021,13.39789577,0.0,0.82896,0.7937,0.95343,-0.77495,0.999765,0.730425,15.00801,0.777475,1557,168.656,4.786,20210727,hybrid,LH195 X MO17,no_nitrogen_variants_for_genotyping
7,4358,2.69024488,89.9,61.95,3.640616167,0.625573338,13.82712039,0.0,0.762855,0.756045,0.969545,-0.654975,0.994515,0.622655,14.6577,0.69056,1557,168.656,4.396,20210727,hybrid,PHB47 X PHZ51,no_nitrogen_variants_for_genotyping
8,4359,2.771797397,86.21,47.7,2.379748167,0.726499911,7.184634291,0.0,0.76888,0.77893,0.99359,-0.69104,0.995495,0.68088,14.560445,0.73798,1557,168.656,5.166,20210727,hybrid,LH244 X PHN82,no_nitrogen_variants_for_genotyping
9,4360,3.0705,84.75,48.64,1.151218333,0.744939906,6.374806767,0.000119617,0.78667,0.76405,0.968715,-0.69631,0.998515,0.66755,13.60604,0.72525,1557,168.656,4.012,20210727,hybrid,TX714 X PHZ51,no_nitrogen_variants_for_genotyping
10,4361,2.064169089,83.13,51.88,3.648183333,0.706327197,14.78679054,0.000244379,0.776765,0.772135,0.76196,-0.6798,0.98148,0.498405,12.77386,0.586275,1557,168.656,3.968,20210727,hybrid,PHJ40 X PHAJ0,no_nitrogen_variants_for_genotyping
11,4362,2.544987822,80.84,42.39,1.6331985,0.786240734,9.550704362,0.0,0.794335,0.77612,0.775025,-0.735035,0.982335,0.53201,13.35489,0.617455,1557,168.656,3.768,20210727,hybrid,B73 X PHK76,no_nitrogen_variants_for_genotyping
12,4363,2.823689221,83.76,47.31,1.657271667,0.754217783,9.774543639,0.0,0.77072,0.76018,0.91098,-0.633015,0.99182,0.597305,12.43643,0.66751,1557,168.656,3.689,20210727,hybrid,B73 X PHZ51,no_nitrogen_variants_for_genotyping
13,4364,2.485052595,83.13,40.64,1.532266667,0.765215522,7.050548005,0.000122309,0.7574,0.751125,0.9139,-0.61874,0.985625,0.586615,12.29639,0.656495,1557,168.656,4.792,20210727,hybrid,LH244 X PHK76,no_nitrogen_variants_for_genotyping
14,4365,2.223698645,84.23,38.25,2.7162425,0.753216571,11.28054245,0.0,0.76148,0.75974,0.891275,-0.652705,0.9814,0.578415,12.83814,0.652075,1557,168.656,4.973,20210727,hybrid,LH195 X PHK76,no_nitrogen_variants_for_genotyping
15,4366,2.286867431,83.24,44.41,3.572987,0.7382612,11.24072099,0.000235849,0.74251,0.76218,0.89686,-0.599665,0.966095,0.543975,13.369875,0.622135,1557,168.656,4.93,20210727,hybrid,PHB47 X PHN82,no_nitrogen_variants_for_genotyping
16,4367,2.242951156,87.33,49.62,3.901975833,0.701156834,9.922324348,0.0,0.776255,0.785365,0.8566,-0.703475,0.989785,0.569865,14.626445,0.65162,1557,168.656,5.487,20210727,hybrid,LH195 X PHN82,no_nitrogen_variants_for_genotyping
17,4368,2.76847368,83.4,52.54,3.3160005,0.743852818,12.03896504,0.0,0.76297,0.75192,0.937785,-0.59839,0.992,0.603715,12.225955,0.671815,1557,168.656,3.668,20210727,hybrid,LH244 X MO17,no_nitrogen_variants_for_genotyping
18,4369,2.132145102,90.73,61.17,4.777228333,0.585737073,14.68231271,0.0,0.74589,0.74757,0.853995,-0.56713,0.98238,0.53212,12.21997,0.612345,1557,168.656,5.024,20210727,hybrid,LH145 X LH82,no_nitrogen_variants_for_genotyping
19,4370,2.526530871,83.18,46.59,1.667310833,0.775551327,11.27020642,0.000117897,0.79038,0.776155,0.854185,-0.694555,0.988935,0.591295,13.61488,0.664155,1557,168.656,4.489,20210727,hybrid,LH195 X PHZ51,no_nitrogen_variants_for_genotyping
