,Plot,height_95p,canopy_cover_50p,canopy_cover_75p,plot_volume2,VCI,CAP,LPI,NDVI705,GNDVI,EVI,VOG2,MCARI2,MTVI,PBI,EVI2,GDD,PREC,LAI,date,hybrid_or_inbred,pedigree,nitrogen_treatment
0,4351.0,2.508083311,84.63,35.23,1.6777965,0.754845518,10.22849156,0.000244828,0.734925,0.755635,0.897915,-0.62208,0.965565,0.541885,13.465675,0.620825,1557.0,168.656,4.551,20210727,hybrid,PHG29 X PHG47,no_nitrogen_variants_for_genotyping
1,4352.0,2.777,86.78,53.36,2.575906167,0.712671171,9.422822083,0.0,0.765675,0.77137,0.98428,-0.667365,0.991585,0.65138,14.0867,0.713145,1557.0,168.656,3.768,20210727,hybrid,B73 X PHN82,no_nitrogen_variants_for_genotyping
2,4353.0,2.917406275,87.07,55.03,3.209379333,0.693911912,13.71253164,0.0,0.76331,0.739905,0.94218,-0.610245,0.996525,0.60339,12.43861,0.66912,1557.0,168.656,3.914,20210727,hybrid,LH244 X PHZ51,no_nitrogen_variants_for_genotyping
3,4354.0,2.18445369,88.93,66.48,4.481886833,0.591474844,15.03753464,0.0,0.765325,0.75867,0.739895,-0.68691,0.960785,0.46105,12.939855,0.55211,1557.0,168.656,4.151,20210727,hybrid,PHRE1 X PHTD5,no_nitrogen_variants_for_genotyping
4,4355.0,2.57773938,84.81,42.9,2.409631833,0.736308003,10.05787721,0.0,0.71857,0.73269,0.935305,-0.557245,0.95915,0.52371,11.91983,0.60321,1557.0,168.656,4.238,20210727,hybrid,PHJ89 X PH207,no_nitrogen_variants_for_genotyping
5,4356.0,2.73,89.9,61.6,4.005465167,0.631142946,13.35644425,0.0,0.749645,0.74617,0.9979,-0.62105,0.989835,0.62999,13.295255,0.69488,1557.0,168.656,4.063,20210727,hybrid,PHB47 X MO17,no_nitrogen_variants_for_genotyping
6,4357.0,2.676078333,92.81,64.69,4.484558333,0.577513021,13.39789577,0.0,0.82896,0.7937,0.95343,-0.77495,0.999765,0.730425,15.00801,0.777475,1557.0,168.656,4.786,20210727,hybrid,LH195 X MO17,no_nitrogen_variants_for_genotyping
7,4358.0,2.69024488,89.9,61.95,3.640616167,0.625573338,13.82712039,0.0,0.762855,0.756045,0.969545,-0.654975,0.994515,0.622655,14.6577,0.69056,1557.0,168.656,4.396,20210727,hybrid,PHB47 X PHZ51,no_nitrogen_variants_for_genotyping
8,4359.0,2.771797397,86.21,47.7,2.379748167,0.726499911,7.184634291,0.0,0.76888,0.77893,0.99359,-0.69104,0.995495,0.68088,14.560445,0.73798,1557.0,168.656,5.166,20210727,hybrid,LH244 X PHN82,no_nitrogen_variants_for_genotyping
9,4360.0,3.0705,84.75,48.64,1.151218333,0.744939906,6.374806767,0.000119617,0.78667,0.76405,0.968715,-0.69631,0.998515,0.66755,13.60604,0.72525,1557.0,168.656,4.012,20210727,hybrid,TX714 X PHZ51,no_nitrogen_variants_for_genotyping
